Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,1.81km,5:37,140,158,-0.1%,1085,5:47,19m,1m,1.81km,350,50/50,104,10,1.02
"Didcot Parkrun",501m,4:57,152,165,0.9%,149,5:01,6m,1.81km,2.31km,394,50/50,102,9.1,1.11
"Didcot Parkrun",499m,4:44,165,169,0.2%,142,4:51,2m,2.31km,2.81km,406,50/50,101,8.5,1.16
"Didcot Parkrun",501m,4:45,169,173,0.1%,143,4:47,3m,2.81km,3.31km,400,50/50,97,8.3,1.14
"Didcot Parkrun",501m,4:45,173,177,-0.6%,143,4:48,1m,3.31km,3.81km,386,51/49,97,8.3,1.15
"Didcot Parkrun",497m,4:41,173,180,0%,140,4:44,2m,3.81km,4.31km,402,50/50,98,8.2,1.15
"Didcot Parkrun",500m,4:34,177,180,-1.3%,137,4:38,0m,4.31km,4.81km,390,50/50,98,8.1,1.18
"Didcot Parkrun",499m,4:38,178,180,-0.2%,139,4:38,2m,4.81km,5.31km,404,50/50,94,7.9,1.15
"Didcot Parkrun",502m,4:43,176,181,-0.6%,142,4:40,0m,5.31km,5.81km,382,51/49,96,8.1,1.18
"Didcot Parkrun",498m,4:29,177,182,-0.4%,134,4:35,0m,5.81km,6.31km,404,50/50,95,7.8,1.19
"Didcot Parkrun",500m,3:56,184,190,-0.5%,118,4:07,0m,6.31km,6.81km,444,49/51,93,7,1.31
"Didcot Parkrun",63m,3:25,190,190,-0.7%,13,3:34,0m,6.81km,6.87km,499,49/51,98,6.2,1.47
,502m,6:05,151,190,-1.6%,316,5:57,4m,6.87km,7.38km,305,50/50,90,9.5,0.94
,498m,5:51,139,156,4.7%,468,6:16,33m,7.38km,7.88km,359,51/49,92,9.7,0.98
,502m,5:50,146,152,0.9%,176,5:41,7m,7.88km,8.38km,331,51/49,93,9.4,0.98
,497m,6:24,151,158,1.5%,191,5:49,6m,8.38km,8.88km,314,51/49,89,9.8,0.89
,500m,6:00,155,162,2.5%,180,5:46,12m,8.88km,9.38km,345,50/50,90,9.5,0.94
,501m,5:43,151,155,-0.6%,172,5:43,1m,9.38km,9.88km,331,50/50,96,9.3,0.99
,498m,5:35,151,155,-0.7%,167,5:40,0m,9.88km,10.38km,324,51/49,94,9.1,1.01
,501m,5:43,145,151,-0.9%,172,5:48,0m,10.38km,10.88km,323,50/50,92,9.1,0.98
,500m,5:40,146,153,0.4%,170,5:42,2m,10.88km,11.38km,337,50/50,92,9.1,0.99
,498m,5:33,147,150,-0.9%,166,5:42,6m,11.38km,11.88km,331,50/50,92,8.9,1.00
,501m,5:23,148,154,-0.2%,162,5:31,2m,11.88km,12.38km,360,51/49,95,9.1,1.03
,497m,5:11,153,156,-1.1%,155,5:19,0m,12.38km,12.88km,369,51/49,95,8.7,1.06
,504m,5:21,152,155,-0.4%,162,5:21,1m,12.88km,13.38km,349,51/49,94,8.9,1.03
,496m,5:26,154,158,0.9%,162,5:23,5m,13.38km,13.88km,369,51/49,94,9.1,1.02
,499m,5:28,154,157,-0.2%,164,5:35,0m,13.88km,14.38km,357,51/49,96,9.2,1.03
,500m,5:26,157,164,1.1%,163,5:21,6m,14.38km,14.88km,383,51/49,94,8.9,1.02
,274m,6:08,155,158,1.2%,101,5:20,2m,14.88km,15.15km,334,51/49,89,9.2,0.92
