Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,428m,5:33,135,163,2.7%,163,5:35,12m,11m,439m,384,52/48,97,9.4,1.03
,518m,5:14,140,147,1.1%,163,5:09,6m,439m,958m,388,51/49,100,9.1,1.07
,492m,5:25,143,147,0.4%,163,5:27,3m,958m,1.45km,377,51/49,98,9.2,1.04
,499m,5:26,141,147,0.3%,163,5:31,2m,1.45km,1.95km,378,51/49,96,9.2,1.02
,475m,5:18,139,146,-0.8%,163,5:33,1m,1.95km,2.42km,363,51/49,96,9,1.06
,508m,5:20,140,144,-1.2%,163,5:32,0m,2.42km,2.93km,322,51/49,99,9.3,1.05
,542m,5:00,147,154,-0.7%,163,5:06,1m,2.93km,3.47km,361,50/50,98,8.8,1.09
,537m,5:03,152,156,-0.7%,163,5:05,0m,3.47km,4.01km,356,50/50,97,8.7,1.08
,536m,5:04,155,162,-0.5%,163,5:02,4m,4.01km,4.55km,357,50/50,98,8.9,1.08
,544m,5:00,153,157,-1%,163,5:08,0m,4.55km,5.09km,349,50/50,99,8.8,1.10
,516m,4:52,155,158,-1.9%,162,5:17,0m,5.09km,5.61km,344,50/50,100,8.9,1.13
,534m,5:05,156,158,0.2%,163,5:04,1m,5.61km,6.14km,368,50/50,97,8.8,1.07
,321m,7:03,146,154,0.1%,174,5:25,2m,6.14km,6.46km,350,51/49,97,9.3,0.78
,514m,4:56,151,158,0.5%,152,5:06,2m,6.46km,6.98km,365,50/50,97,8.8,1.11
,542m,5:00,155,160,-0.4%,163,5:04,0m,6.98km,7.52km,355,50/50,95,8.4,1.09
,532m,5:06,158,164,0.4%,163,4:55,3m,7.52km,8.05km,381,51/49,96,8.6,1.08
,524m,5:11,154,159,-0.5%,163,5:19,1m,8.05km,8.58km,357,50/50,96,8.8,1.06
,520m,5:13,154,158,0.2%,163,5:20,1m,8.58km,9.1km,371,50/50,95,8.8,1.05
,514m,5:17,152,157,-0.1%,163,5:13,0m,9.1km,9.61km,375,51/49,94,8.7,1.04
,493m,5:20,159,165,2.3%,163,5:02,11m,9.61km,10.11km,417,51/49,93,8.8,1.03
