Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,250m,5:20,121,131,1.5%,111,6:01,6m,0m,250m,361,50/50,102,10,1.08
,252m,5:25,135,138,1.8%,82,5:16,4m,250m,502m,371,50/50,99,9.4,1.04
,248m,5:05,134,142,0.8%,94,5:25,5m,502m,751m,387,52/48,96,9.1,1.09
,248m,5:01,144,148,0.3%,75,5:17,0m,751m,1km,375,51/49,101,9.1,1.11
,250m,5:23,147,150,0.3%,81,5:01,0m,1km,1.25km,358,51/49,100,9.5,1.05
,251m,5:14,144,146,-0.8%,79,5:26,0m,1.25km,1.5km,349,50/50,102,9.3,1.09
,249m,5:41,138,146,-2.1%,110,6:11,1m,1.5km,1.75km,323,50/50,102,10.2,1.02
,250m,5:40,135,144,-1.5%,142,6:11,1m,1.75km,2km,334,50/50,100,10.4,1.01
,248m,5:18,132,140,-1.1%,148,5:42,5m,2km,2.25km,354,49/51,103,10.7,1.09
,251m,5:22,140,147,1.3%,81,5:16,2m,2.25km,2.5km,376,50/50,100,9.4,1.05
,250m,5:24,142,146,0%,81,5:33,0m,2.5km,2.75km,346,50/50,97,9.2,1.04
,248m,5:22,145,148,0.1%,80,5:13,1m,2.75km,3km,343,50/50,95,9,1.04
,250m,5:24,140,149,-0.5%,111,5:38,2m,3km,3.25km,349,50/50,98,9.8,1.05
,250m,5:27,140,144,-1.2%,82,5:39,0m,3.25km,3.5km,325,50/50,98,9.5,1.04
,248m,5:21,145,148,0.2%,80,5:28,0m,3.5km,3.75km,342,50/50,95,9,1.04
,249m,5:20,149,153,0.3%,80,5:10,1m,3.75km,4km,363,50/50,99,9.1,1.05
,250m,5:16,149,152,0.2%,79,5:13,0m,4km,4.25km,356,50/50,95,8.7,1.05
,250m,5:04,149,154,-1.1%,76,5:13,0m,4.25km,4.5km,358,50/50,98,8.7,1.09
,250m,5:12,153,155,0.4%,78,4:58,1m,4.5km,4.75km,357,50/50,95,8.7,1.06
,251m,5:14,150,152,-1.2%,79,5:14,0m,4.75km,5km,344,50/50,95,8.8,1.05
,115m,5:55,151,153,-0.4%,41,5:02,0m,5km,5.11km,340,50/50,97,9.2,0.95
