Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,250m,5:47,116,136,1.3%,87,5:55,2m,0m,250m,343,49/51,100,10.2,0.99
,250m,5:35,131,137,1.6%,84,5:27,4m,250m,500m,356,51/49,102,9.9,1.02
,251m,5:22,137,146,2.1%,81,5:33,5m,500m,752m,388,51/49,98,9.3,1.05
,248m,5:14,137,143,-1.6%,78,5:33,0m,752m,1km,333,52/48,103,9.3,1.08
,250m,5:20,143,148,0.4%,80,5:10,2m,1km,1.25km,370,51/49,101,9.1,1.06
,250m,5:20,146,149,0.6%,80,5:20,2m,1.25km,1.5km,355,51/49,100,9.1,1.06
,251m,5:27,146,150,0.7%,82,5:15,1m,1.5km,1.75km,360,50/50,107,9.9,1.05
,248m,5:22,148,154,0.6%,80,5:32,2m,1.75km,2km,358,50/50,106,9.7,1.06
,251m,5:23,149,152,0.5%,81,5:24,2m,2km,2.25km,355,50/50,107,9.8,1.06
,250m,5:36,150,153,0.9%,84,5:28,2m,2.25km,2.5km,351,50/50,106,10,1.03
,249m,5:41,150,155,0.8%,85,5:27,2m,2.5km,2.75km,342,50/50,106,10.2,1.01
,251m,5:26,152,156,-0.4%,82,5:30,0m,2.75km,3km,340,50/50,105,9.9,1.05
,247m,5:11,151,155,-0.9%,77,4:55,0m,3km,3.25km,342,50/50,105,9.4,1.09
,252m,5:25,150,154,-1.6%,82,5:30,0m,3.25km,3.5km,327,50/50,105,9.9,1.05
,247m,5:32,150,157,0.7%,82,5:17,2m,3.5km,3.75km,346,50/50,101,9.5,1.02
,251m,5:34,157,162,1.9%,88,5:38,5m,3.75km,4km,362,50/50,103,10.2,1.05
,249m,5:40,144,158,2.4%,144,5:49,12m,4km,4.25km,377,49/51,100,9.5,0.99
,249m,6:32,158,165,7%,98,5:02,16m,4.25km,4.5km,406,51/49,95,10.5,0.88
,249m,6:17,162,166,3.7%,94,5:40,9m,4.5km,4.75km,358,50/50,96,10.5,0.91
,250m,5:48,158,163,1%,87,5:47,2m,4.75km,5km,338,50/50,100,10,0.98
,252m,5:41,153,157,-0.1%,86,5:39,0m,5km,5.25km,329,49/51,102,10,1.00
