Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,248m,5:26,145,157,0%,143,5:43,6m,5.25km,5.5km,342,49/51,100,9.9,1.05
,251m,5:18,149,152,0.3%,80,5:26,1m,5.5km,5.75km,350,50/50,103,9.6,1.05
,247m,5:23,150,153,-0.9%,80,5:29,0m,5.75km,6km,333,50/50,102,9.5,1.04
,251m,7:26,143,152,-0.4%,113,7:38,2m,6km,6.25km,244,51/49,90,9.1,0.95
,249m,5:41,154,155,0.7%,85,5:15,2m,6.25km,6.5km,334,51/49,98,9.7,0.99
,249m,5:52,157,160,2.5%,88,5:28,5m,6.5km,6.75km,358,51/49,97,9.8,0.96
,250m,5:24,155,164,-1%,81,5:35,0m,6.75km,7km,331,50/50,101,9.7,1.04
,249m,5:12,146,148,-3.2%,78,5:41,0m,7km,7.25km,314,49/51,103,9.3,1.07
,249m,5:32,150,157,2.4%,83,5:18,7m,7.25km,7.5km,379,50/50,99,9.4,1.02
,249m,5:44,152,160,-0.3%,86,5:43,2m,7.5km,7.75km,328,50/50,99,9.9,0.98
,251m,5:38,149,155,-1.2%,102,6:01,1m,7.75km,8km,313,51/49,96,9.9,0.99
,251m,5:35,148,151,-0.1%,84,5:25,1m,8km,8.25km,331,51/49,97,9.5,1.00
,248m,5:26,151,155,1%,81,5:37,2m,8.25km,8.5km,344,51/49,98,9.5,1.02
,251m,5:26,150,152,-2%,82,5:38,0m,8.5km,8.75km,327,50/50,98,9.4,1.02
,249m,5:24,151,153,0.5%,81,5:19,4m,8.75km,9km,336,50/50,99,9.3,1.03
,248m,5:26,149,151,1.2%,81,5:22,2m,9km,9.25km,361,50/50,97,9.3,1.02
,250m,5:27,150,152,-2.8%,82,5:25,0m,9.25km,9.5km,309,51/49,98,9.4,1.02
,249m,5:29,149,152,1.7%,82,5:31,4m,9.5km,9.75km,360,50/50,99,9.4,1.03
,249m,5:29,151,154,-1.4%,114,5:53,1m,9.75km,10km,332,50/50,96,9.1,1.03
,250m,5:16,150,153,-0.4%,79,5:11,0m,10km,10.25km,331,50/50,98,9.1,1.04
,250m,5:19,149,153,0.3%,80,5:28,1m,10.25km,10.5km,327,50/50,97,9.2,1.04
,248m,4:58,143,148,-2%,74,5:40,0m,10.5km,10.75km,339,48/52,100,8.9,1.11
,252m,5:01,140,143,-5.1%,76,5:28,0m,10.75km,11km,296,49/51,99,8.7,1.09
,247m,5:16,141,143,-2.2%,78,5:48,0m,11km,11.25km,314,50/50,100,9.2,1.06
,250m,5:24,142,147,-2.8%,81,5:38,0m,11.25km,11.5km,316,50/50,99,9.1,1.04
,249m,5:36,149,150,-1.2%,84,5:34,1m,11.5km,11.75km,313,51/49,97,9.5,1.00
,251m,5:23,147,149,0.4%,81,5:32,1m,11.75km,12km,333,50/50,97,9.3,1.03
,250m,5:31,147,152,-1.3%,83,5:51,0m,12km,12.25km,320,50/50,98,9.5,1.01
,250m,5:39,147,157,2.2%,85,5:22,6m,12.25km,12.5km,373,50/50,98,9.4,1.00
,249m,5:41,154,158,0.9%,85,5:43,1m,12.5km,12.75km,340,51/49,96,9.6,0.99
,249m,5:29,153,155,-1.5%,82,5:37,0m,12.75km,13km,327,50/50,96,9.4,1.02
,250m,5:31,149,153,0%,83,5:25,0m,13km,13.25km,318,51/49,97,9.4,1.01
,249m,5:28,149,154,-0.5%,82,5:34,0m,13.25km,13.5km,334,51/49,98,9.3,1.02
,248m,5:22,148,150,-0.8%,80,5:31,0m,13.5km,13.75km,332,51/49,97,9.1,1.03
,252m,5:28,149,153,0%,83,5:34,0m,13.75km,14km,332,51/49,97,9.2,1.02
,249m,5:20,146,148,-2%,80,5:38,0m,14km,14.25km,313,50/50,98,9.2,1.04
,248m,5:29,148,153,-1.9%,82,5:39,0m,14.25km,14.5km,321,50/50,97,9.2,1.01
,250m,5:19,147,153,-0.9%,80,5:35,0m,14.5km,14.75km,334,51/49,98,9.2,1.04
,248m,5:30,146,149,-1.5%,82,5:26,0m,14.75km,15km,316,51/49,99,9.3,1.02
,250m,5:28,146,149,-0.6%,82,5:38,0m,15km,15.25km,324,50/50,99,9.3,1.03
,250m,5:27,145,149,1.1%,99,5:56,3m,15.25km,15.5km,342,50/50,96,9.1,1.04
,251m,5:22,149,151,-0.8%,81,5:31,1m,15.5km,15.75km,335,49/51,98,9.3,1.04
,248m,5:22,148,151,-0.5%,80,5:27,1m,15.75km,16km,325,50/50,97,9.1,1.03
,250m,5:32,154,157,1.2%,83,5:33,2m,16km,16.25km,368,50/50,99,9.5,1.02
,250m,5:16,156,159,1.3%,79,5:00,2m,16.25km,16.5km,379,51/49,101,9.2,1.07
,251m,5:19,156,160,-0.8%,80,5:18,1m,16.5km,16.75km,344,51/49,98,9.1,1.05
,248m,5:18,150,155,-2.1%,79,5:31,0m,16.75km,17km,320,51/49,96,9,1.04
,206m,5:25,150,153,-1.7%,67,5:32,0m,17km,17.2km,329,50/50,96,8.9,1.02
