Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,20m,4:04,132,133,1.9%,5,4:16,0m,7.81km,7.83km,472,51/49,95,7.3,1.26
,17m,3:49,133,135,1.1%,4,4:15,0m,7.83km,7.85km,463,51/49,93,7.3,1.34
,20m,4:03,138,140,1.9%,5,3:57,0m,7.85km,7.87km,489,51/49,94,7.2,1.25
,18m,4:24,142,143,0%,5,3:27,0m,7.87km,7.89km,497,51/49,97,7,1.17
,19m,10:54,140,143,-5.1%,13,4:39,0m,7.89km,7.91km,266,50/50,88,8.5,0.65
,20m,11:28,135,137,-5%,14,7:49,0m,7.91km,7.93km,133,50/50,75,8.8,0.75
,19m,11:53,128,130,0%,14,9:34,0m,7.93km,7.95km,104,50/50,64,6.8,0.73
,23m,5:00,127,130,-2.6%,7,10:30,0m,7.95km,7.98km,209,50/50,89,11.1,1.20
,17m,3:52,133,134,3.4%,4,7:16,0m,7.98km,7.99km,357,51/49,94,8.8,1.31
,21m,3:47,136,137,2.7%,5,4:11,0m,7.99km,8.01km,485,51/49,93,7.5,1.33
,21m,3:52,139,141,2.7%,5,4:18,0m,8.01km,8.04km,482,51/49,91,7,1.29
,17m,3:53,143,145,1.1%,4,4:25,0m,8.04km,8.05km,493,51/49,89,6.7,1.30
,19m,6:50,146,147,0%,8,4:28,0m,8.05km,8.07km,465,51/49,88,6.4,0.79
,20m,12:21,143,146,-8.9%,15,12:57,0m,8.07km,8.09km,142,51/49,74,9.9,0.69
,19m,13:43,131,140,-5.2%,16,13:45,0m,8.09km,8.11km,83,,56,6.8,0.65
,23m,8:41,122,125,-1.8%,12,13:57,0m,8.11km,8.14km,110,50/50,66,9.4,0.93
,17m,3:52,128,131,0%,4,11:36,0m,8.14km,8.15km,271,50/50,97,12.3,1.30
,19m,4:16,131,132,-1.1%,5,4:49,0m,8.15km,8.17km,433,50/50,88,7.2,1.17
,19m,4:12,134,136,3%,5,4:28,0m,8.17km,8.19km,408,50/50,89,7.2,1.20
,22m,3:44,138,139,3.5%,5,4:30,0m,8.19km,8.21km,443,50/50,92,7.5,1.34
,20m,4:03,141,143,0.9%,5,4:16,0m,8.21km,8.23km,478,50/50,90,7,1.25
,17m,7:38,143,145,1.1%,8,4:29,0m,8.23km,8.25km,409,50/50,94,6.8,0.80
,20m,11:25,140,143,0%,14,10:42,0m,8.25km,8.27km,189,,83,9.1,0.74
,20m,11:26,130,134,0.9%,14,10:50,0m,8.27km,8.29km,143,,70,8,0.75
,20m,10:34,118,122,0%,13,11:12,0m,8.29km,8.31km,139,51/49,71,7.9,0.82
,22m,3:42,125,130,0%,5,11:06,0m,8.31km,8.34km,265,51/49,94,14.2,1.36
,17m,3:54,133,134,0%,4,5:27,0m,8.34km,8.35km,456,51/49,96,7.7,1.30
,20m,4:04,137,139,1.9%,5,4:11,0m,8.35km,8.37km,465,51/49,90,7.1,1.23
,18m,4:24,140,141,1%,5,4:12,0m,8.37km,8.39km,447,51/49,90,6.9,1.16
,20m,5:34,141,143,0%,7,4:22,0m,8.39km,8.41km,408,50/50,89,10.1,0.96
,20m,4:09,144,146,0%,5,4:09,0m,8.41km,8.43km,503,51/49,102,8.8,1.26
,19m,12:11,142,147,-1.1%,14,7:51,0m,8.43km,8.45km,203,51/49,75,7.7,0.61
,19m,12:51,133,138,-2.1%,15,11:41,0m,8.45km,8.47km,131,,64,6.8,0.68
,21m,10:52,125,129,-4.7%,14,12:26,0m,8.47km,8.49km,109,50/50,65,7.4,0.81
,1.6km,4:56,150,158,0.7%,481,4:53,14m,8.49km,10.1km,387,50/50,95,8.6,1.10
