Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,7.45km,5:14,141,156,0%,2393,5:19,55m,0m,7.45km,359,50/50,97,9.1,1.05
,22m,4:22,151,153,0%,6,5:11,0m,7.45km,7.47km,364,50/50,98,8.6,1.22
,18m,4:26,152,153,1%,5,5:00,0m,7.47km,7.49km,385,50/50,99,8.2,1.18
,19m,4:11,153,154,-5.1%,5,4:50,0m,7.49km,7.51km,390,50/50,96,7.9,1.25
,19m,4:14,153,153,-3.1%,5,4:38,0m,7.51km,7.53km,395,50/50,96,7.6,1.23
,19m,5:11,153,154,-1.1%,6,4:18,0m,7.53km,7.55km,395,50/50,97,7.4,1.03
,19m,12:35,150,154,-4.1%,15,7:49,0m,7.55km,7.57km,160,50/50,78,8.8,0.62
,20m,18:31,139,147,-11.6%,23,14:17,0m,7.57km,7.59km,76,50/50,69,8.6,0.64
,19m,8:21,128,132,0%,10,11:48,0m,7.59km,7.61km,112,51/49,67,9.9,0.97
,20m,4:06,133,135,-1%,5,12:12,0m,7.61km,7.63km,240,52/48,96,12.5,1.24
,21m,3:48,136,137,-1%,5,5:52,0m,7.63km,7.66km,402,51/49,94,8,1.33
,16m,3:57,138,139,0%,4,4:11,0m,7.66km,7.67km,461,51/49,93,7.4,1.28
,20m,4:00,140,142,-2%,5,4:14,0m,7.67km,7.69km,436,51/49,92,7.1,1.26
,19m,4:14,142,143,-1.1%,5,4:10,0m,7.69km,7.71km,432,50/50,91,7,1.20
,19m,11:16,140,143,-4.2%,13,7:09,0m,7.71km,7.73km,201,50/50,82,8.1,0.65
,20m,11:18,135,137,0%,14,10:56,0m,7.73km,7.75km,138,50/50,79,7.7,0.76
,20m,13:09,128,135,0%,16,11:54,0m,7.75km,7.77km,125,,69,6.7,0.66
,20m,4:53,121,126,-2%,6,12:14,0m,7.77km,7.79km,205,51/49,87,11.8,1.29
,21m,3:55,129,131,1.8%,5,5:30,0m,7.79km,7.81km,422,51/49,91,8.4,1.28
