Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,250m,5:56,113,130,3.9%,92,6:13,9m,1m,251m,363,50/50,96,10.1,0.99
,251m,5:38,131,135,2.1%,85,5:27,5m,251m,502m,365,51/49,95,9.4,0.99
,249m,5:29,132,137,0.4%,82,5:29,0m,502m,751m,340,51/49,95,9.2,1.01
,249m,5:36,137,141,-0.9%,84,5:23,0m,751m,1km,338,51/49,96,9.4,1.00
,250m,5:27,134,146,2%,95,5:43,8m,1km,1.25km,365,51/49,97,9,1.05
,248m,5:30,142,147,1.7%,82,5:29,4m,1.25km,1.5km,367,51/49,97,9.3,1.02
,250m,5:24,140,143,0.3%,81,5:28,1m,1.5km,1.75km,353,50/50,98,9.3,1.04
,252m,5:21,137,143,-1.9%,108,5:38,1m,1.75km,2km,327,51/49,97,9,1.05
,248m,5:26,133,141,-0.6%,81,5:38,0m,2km,2.25km,333,50/50,96,9.1,1.03
,250m,5:23,136,139,-2.8%,81,5:34,0m,2.25km,2.5km,311,50/50,98,9.2,1.05
,248m,5:25,139,143,-0.2%,81,5:28,1m,2.5km,2.75km,343,51/49,96,9.1,1.03
,249m,5:28,136,140,-3%,82,5:36,0m,2.75km,3km,302,51/49,95,8.9,1.02
,250m,5:31,135,140,0.1%,83,5:45,1m,3km,3.25km,326,50/50,97,9.3,1.02
,249m,5:32,141,144,0.4%,83,5:31,2m,3.25km,3.5km,346,51/49,96,9.2,1.02
,250m,5:19,138,141,-0.7%,80,5:32,0m,3.5km,3.75km,325,50/50,96,9,1.05
,249m,5:21,139,142,1.2%,80,5:25,2m,3.75km,4km,355,51/49,96,8.9,1.05
,252m,5:33,145,147,1%,84,5:16,4m,4km,4.25km,364,51/49,95,9.2,1.02
,248m,5:22,140,143,-0.5%,80,5:29,0m,4.25km,4.5km,323,51/49,97,9.1,1.04
,251m,5:15,142,145,0%,79,5:41,0m,4.5km,4.75km,339,51/49,96,9,1.06
,247m,5:23,142,146,-1.8%,80,5:19,0m,4.75km,5km,331,50/50,96,8.8,1.04
,251m,5:18,148,151,-0.2%,80,5:20,0m,5km,5.25km,345,50/50,97,8.9,1.05
,248m,5:26,141,147,-0.8%,81,5:35,0m,5.25km,5.5km,323,50/50,96,9,1.03
,252m,5:45,150,154,1.5%,87,5:13,3m,5.5km,5.75km,348,51/49,94,9.2,0.99
,216m,5:46,145,150,-1.2%,75,5:54,0m,5.75km,5.97km,307,50/50,95,9.3,0.98
