Label,Distance,Pace,Avg HR,Max HR,Avg Gradient,Elapsed Time,GAP,Altitude Gain,Start Distance,End Distance,Avg Power,Avg Stance Balance,Avg Vertical Oscillation,Avg Vertical Ratio,Stride
,252m,6:00,117,134,1.9%,91,6:21,4m,0m,252m,328,50/50,97,10.2,0.98
,248m,6:03,132,136,1.5%,90,5:43,3m,252m,500m,327,51/49,94,9.7,0.95
,250m,5:44,135,143,1.9%,86,6:00,5m,500m,751m,350,51/49,93,9.4,0.99
,250m,5:23,137,142,-1.2%,81,5:45,0m,751m,1km,311,51/49,94,8.8,1.04
,248m,5:26,140,146,0.5%,81,5:17,1m,1km,1.25km,344,51/49,92,8.6,1.03
,252m,5:37,144,147,0%,85,5:31,0m,1.25km,1.5km,336,51/49,92,8.8,1.00
,248m,5:42,142,145,1%,85,5:31,1m,1.5km,1.75km,338,52/48,91,9,0.98
,249m,5:40,146,150,0.8%,85,5:51,1m,1.75km,2km,331,51/49,94,9.3,0.99
,249m,5:37,148,151,1.1%,84,5:41,2m,2km,2.25km,335,51/49,93,9.2,0.99
,249m,5:25,142,151,-3.4%,81,5:32,0m,2.25km,2.5km,300,50/50,97,9.2,1.03
,250m,5:32,145,150,-0.4%,83,5:37,0m,2.5km,2.75km,323,50/50,99,9.4,1.02
,251m,5:30,148,152,-1.6%,83,5:36,0m,2.75km,3km,316,50/50,97,9.2,1.03
,249m,5:25,147,150,-0.5%,81,5:30,0m,3km,3.25km,320,50/50,98,9.2,1.03
,249m,5:13,150,152,-0.7%,78,5:22,0m,3.25km,3.5km,335,50/50,95,8.8,1.06
,249m,5:29,149,153,0%,82,5:17,1m,3.5km,3.75km,332,50/50,95,9,1.02
,250m,5:36,152,156,0%,84,5:32,1m,3.75km,4km,329,50/50,93,9,0.99
,251m,5:38,150,155,1.1%,85,5:33,3m,4km,4.25km,341,50/50,93,9.1,0.99
,249m,5:25,153,157,0.5%,81,5:29,1m,4.25km,4.5km,332,49/51,95,9.2,1.02
,250m,5:15,157,160,0.5%,79,5:12,5m,4.5km,4.75km,374,50/50,97,9.1,1.06
,250m,5:19,151,155,-1%,80,5:20,0m,4.75km,5km,325,49/51,95,8.9,1.04
,248m,4:57,153,160,-1.3%,74,5:24,0m,5km,5.25km,349,49/51,98,8.8,1.11
,31m,6:49,153,156,-3.8%,13,5:18,0m,5.25km,5.28km,308,48/52,98,7.8,0.85
